sekunda,plama_px,plam,tlo_px,zapisana
276.0,0,0,208,0
276.2,0,0,0,0
276.5,0,0,0,0
276.8,0,0,0,0
277.0,0,0,130,0
277.2,0,0,0,0
277.5,0,0,0,0
277.8,0,0,0,0
278.0,0,0,246,0
278.2,0,0,0,0
278.5,0,0,0,0
278.8,0,0,0,0
279.0,0,0,239,0
279.2,0,0,0,0
279.5,0,0,0,0
279.8,0,0,0,0
280.0,0,0,94,0
280.2,0,0,0,0
280.5,0,0,0,0
280.8,0,0,0,0
281.0,0,0,273,0
281.2,0,0,0,0
281.5,108,1,0,0
281.8,107,2,0,0
282.0,47,1,211,0
282.2,0,0,0,0
282.5,0,0,0,0
282.8,0,0,0,0
283.0,0,0,88,0
283.2,0,0,0,0
283.5,0,0,0,0
283.8,0,0,0,0
284.0,0,0,555,0
284.2,0,0,0,0
284.5,0,0,0,0
284.8,0,0,0,0
285.0,0,0,244,0
285.2,0,0,0,0
285.5,0,0,0,0
285.8,0,0,0,0
286.0,0,0,212,0
286.2,0,0,0,0
286.5,0,0,0,0
286.8,0,0,0,0
287.0,0,0,130,0
287.2,0,0,0,0
287.5,0,0,0,0
287.8,0,0,0,0
288.0,0,0,247,0
288.2,0,0,0,0
288.5,0,0,0,0
